City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jardim,BR,83.59,few clouds,-21.48,-56.14,Estancia Hotel - Jardim MS
4,Atuona,PF,76.39,light rain,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
5,Rikitea,PF,72.66,clear sky,-23.12,-134.97,People ThankYou
8,Roald,NO,64.17,broken clouds,62.58,6.13,Flem Cabins
10,Bengkulu,ID,76.08,light rain,-3.8,102.27,Grage Hotel Bengkulu
11,Hilo,US,72.63,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
12,Ouesso,CG,82.51,overcast clouds,1.61,16.05,ABENIE Hotel
13,Kapaa,US,79.12,scattered clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
15,Kieta,PG,74.5,light rain,-6.22,155.63,Uruna Bay Retreat
17,Saint-Philippe,RE,72.99,clear sky,-21.36,55.77,Le four à pain
20,Aleksandrov Gay,RU,78.51,overcast clouds,50.15,48.57,Gostinitsa
23,Jambi,ID,75.61,broken clouds,-1.6,103.62,ASTON Jambi Hotel & Conference Center
24,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
29,Pedernales,DO,83.7,overcast clouds,18.04,-71.74,Hotel Costa Marina
30,Badin,PK,86.88,clear sky,24.66,68.84,Sindh Al Sajjad Hotal Khoski Istop Badin
33,Saint George,US,72.79,scattered clouds,37.1,-113.58,Best Western Plus Abbey Inn
34,Bredasdorp,ZA,70.66,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
35,Bilma,NE,102.22,few clouds,18.69,12.92,Expeditions Ténére voyages
37,Valle De Allende,MX,67.19,clear sky,26.93,-105.4,Hotel Meson de San Bartolome
38,Hermanus,ZA,67.8,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
41,Alta Floresta,BR,82.22,smoke,-9.88,-56.09,Floresta Amazonica Hotel
42,Jamestown,US,68.72,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
46,Puerto Ayora,EC,66.54,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
48,San Quintin,MX,69.03,few clouds,30.48,-115.95,Don Eddie's Sport Fishing Center
49,Mount Isa,AU,71.37,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
52,El Fuerte,MX,78.73,scattered clouds,26.42,-108.62,Hotel Rio Vista
54,Hithadhoo,MV,82.0,few clouds,-0.6,73.08,Scoop Guest House
57,Hualahuises,MX,75.29,clear sky,24.88,-99.67,Cabaña hualahuises
58,Katsuura,JP,69.75,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
61,Kruisfontein,ZA,71.92,few clouds,-34.0,24.73,Oyster Bay House Rental
62,San Cristobal,VE,68.18,overcast clouds,7.77,-72.22,Pirineos
67,Havelock,US,81.99,clear sky,34.88,-76.9,Sherwood Motel
68,Sao Filipe,CV,79.07,few clouds,14.9,-24.5,Hotel Xaguate
71,Kahului,US,78.84,scattered clouds,20.89,-156.47,Maui Seaside Hotel
72,Nichinan,JP,68.97,overcast clouds,31.6,131.37,Guest House Aki
73,Cape Town,ZA,73.81,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
76,Ugoofaaru,MV,82.13,clear sky,5.67,73.0,Ungoofaaru Inn
77,Yueyang,CN,66.74,overcast clouds,29.33,113.09,Delong Fortune Hotel
82,Wum,CM,71.89,moderate rain,6.38,10.07,Beng Family Estate
84,Carnarvon,AU,66.04,clear sky,-24.87,113.63,Hospitality Carnarvon
85,Butaritari,KI,80.1,light rain,3.07,172.79,Isles Sunset Lodge
89,Arraial Do Cabo,BR,75.16,scattered clouds,-22.97,-42.03,Pousada Porto Praia
90,Bandarbeyla,SO,80.26,clear sky,9.49,50.81,JABIR HOTEL
91,Oskemen,KZ,66.16,clear sky,49.96,82.61,Dedeman Oskemen Tavros Hotel
92,Metro,ID,77.07,overcast clouds,-5.11,105.31,OYO 3177 Wisma Lintang
93,Port Elizabeth,ZA,68.31,clear sky,-33.92,25.57,39 On Nile Guest House
95,Cantagallo,CO,77.58,overcast clouds,7.38,-73.92,Apartahotel Altamira
96,Luxeuil-Les-Bains,FR,65.82,clear sky,47.82,6.36,Hôtel Cerise Luxeuil - Les Sources
98,Biltine,TD,97.7,scattered clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
99,Victoria,HK,84.33,broken clouds,22.29,114.16,Mini Central
100,Georgetown,MY,82.33,light rain,5.41,100.34,Cititel Penang
101,Lasa,IT,67.08,few clouds,46.62,10.7,Pension Feldgärtenhof
102,Rincon,US,78.85,clear sky,32.3,-81.24,Days Inn Rincon
103,Nadadores,MX,78.24,clear sky,27.05,-101.6,Hacienda Las Catalinas
104,Kathu,TH,85.69,heavy intensity rain,7.92,98.33,Novotel Phuket Resort
107,Bethel,US,69.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
108,Dingle,PH,76.44,light rain,11.0,122.67,SEGAYA PROPERTY
109,Palmer,US,66.49,scattered clouds,42.16,-72.33,Wedgewood Motel
111,Namibe,AO,75.83,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
112,Marzuq,YE,88.79,broken clouds,14.4,46.47,حيد القفلة
114,Sur,OM,86.76,clear sky,22.57,59.53,Sur Plaza Hotel
115,Alice Springs,AU,60.22,clear sky,-23.7,133.88,Desert Palms Alice Springs
117,Acapulco,MX,76.66,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
118,Kudahuvadhoo,MV,82.29,clear sky,2.67,72.89,Kudahuvadhoo Retreat
119,Tullamore,IE,65.5,overcast clouds,53.27,-7.49,Bridge House Hotel
120,Tahta,EG,94.5,clear sky,26.77,31.5,shady waheed
122,Komsomolskiy,UZ,83.12,broken clouds,40.43,71.72,Ikathouse
123,Tarakan,ID,74.7,few clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
124,Bambous Virieux,MU,73.65,broken clouds,-20.34,57.76,Casa Tia Villa
126,Mathathane,BW,70.52,broken clouds,-22.27,28.75,Selepswe Resort
129,Colesberg,ZA,64.67,clear sky,-30.72,25.1,Bhelekazi Guesthouse
130,East London,ZA,67.14,few clouds,-33.02,27.91,Tu Casa
131,Cabo San Lucas,MX,79.52,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
134,Innisfail,AU,73.29,overcast clouds,-17.53,146.03,Moondarra Motel
135,Karratha,AU,73.27,clear sky,-20.74,116.85,ibis Styles Karratha
137,Grand Gaube,MU,73.8,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
138,Pitimbu,BR,82.99,few clouds,-7.47,-34.81,Reserva do Abiaí
139,Kavieng,PG,81.9,overcast clouds,-2.57,150.8,Nusa Island Retreat
141,Halifax,CA,65.68,mist,44.65,-63.57,Hotel Halifax
142,Port Alfred,ZA,67.17,clear sky,-33.59,26.89,The Halyards Hotel
143,Gat,IL,81.79,clear sky,31.61,34.76,OlusHome
144,Vilhena,BR,84.42,clear sky,-12.74,-60.15,Hotel Mirage
146,Biak,ID,76.46,few clouds,-0.91,122.88,Penginapan Kim
151,Mahajanga,MG,91.42,few clouds,-15.72,46.32,Hôtel Restaurant Gourmand Coco Lodge Majunga
153,Caravelas,BR,79.93,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
155,Fort Collins,US,62.82,few clouds,40.59,-105.08,Best Western University Inn
157,Tarauaca,BR,84.92,broken clouds,-8.16,-70.77,Flat Temporada
158,Teluk Nibung,ID,76.59,overcast clouds,3.0,99.82,Tim kalilawar
161,Kotri,PK,88.14,clear sky,25.37,68.31,Drivers Running Room
163,Stephenville,US,81.16,clear sky,32.22,-98.2,La Quinta Inn & Suites by Wyndham Stephenville
165,San Patricio,US,83.89,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
166,Flinders,AU,63.37,light rain,-34.58,150.86,Shellharbour Resort & Conference Centre
169,Isangel,VU,74.19,clear sky,-19.55,169.27,Tanna Lodge
172,Inyonga,TZ,92.66,broken clouds,-6.72,32.07,Eden Rock Lodge
173,Ponta Do Sol,PT,81.23,scattered clouds,32.67,-17.1,Hotel do Campo
174,Hirara,JP,79.07,few clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
176,Sulangan,PH,84.4,moderate rain,11.14,123.72,Maia's Beach Resort
178,Independencia,BR,92.82,clear sky,-5.4,-40.31,Pousada Santa Cruz
179,Yulara,AU,63.93,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
181,Sibolga,ID,76.32,heavy intensity rain,1.74,98.78,Hotel Syariah CN Darussalam
182,Itaguai,BR,78.42,broken clouds,-22.85,-43.78,It Grande Hotel Itaguai
183,Husainabad,IN,80.08,scattered clouds,24.53,84.02,Mehdinager
184,Greenfield,US,75.6,broken clouds,42.96,-88.01,Brewtown Eatery Bar & Grill
187,Mahebourg,MU,73.69,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
191,Saint-Georges,GD,82.08,broken clouds,12.06,-61.75,Radisson Grenada Beach Resort
192,Coari,BR,92.61,few clouds,-4.08,-63.14,Dellrey Hotel Center
194,Santa Cruz,BO,72.86,broken clouds,-17.8,-63.17,Hotel California
195,Talara,PE,65.16,clear sky,-4.58,-81.27,Hostal Oro Negro
196,Hamilton,US,78.82,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
198,Panzhihua,CN,71.33,overcast clouds,26.59,101.71,Electric Power Hotel
200,Pizarro,CO,78.98,overcast clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
201,Imbituba,BR,68.86,clear sky,-28.24,-48.67,Praia Hotel Imbituba
205,Alappuzha,IN,79.81,clear sky,9.49,76.33,Panoramic Sea Resort
206,Muroto,JP,71.6,overcast clouds,33.28,134.15,Oota Ryokan
207,Cockburn Town,TC,82.49,overcast clouds,21.46,-71.14,Osprey Beach Hotel
208,Oistins,BB,84.29,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
209,Esperance,AU,60.55,clear sky,-33.87,121.9,Hospitality Esperance
210,Kirkuk,IQ,99.73,overcast clouds,35.47,44.39,فندق التأميم السياحي
211,Gizo,SB,76.78,light rain,-8.1,156.84,Imagination Island
212,Nueva Guinea,NI,77.79,scattered clouds,11.69,-84.46,Posadita La Reyna
213,Mecca,SA,98.46,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
215,Port Hedland,AU,68.05,clear sky,-20.32,118.57,The Esplanade Hotel
216,San Angelo,US,77.29,clear sky,31.46,-100.44,"Motel 6 San Angelo, TX"
217,Port Macquarie,AU,63.9,overcast clouds,-31.43,152.92,Rydges Port Macquarie
218,Houma,US,82.0,clear sky,29.6,-90.72,Courtyard by Marriott Houma
223,Ribeira Grande,PT,77.4,few clouds,38.52,-28.7,Quinta da Meia Eira
224,Alugan,PH,78.78,light rain,12.22,125.48,JM Lodge
225,Tubmanburg,LR,78.48,moderate rain,6.87,-10.82,LITTLE WAY GUEST HOUSE
227,Natitingou,BJ,82.22,light rain,10.3,1.38,Centre pastoral Nicolas OKIOH (CPNO)
230,Sao Joao Da Barra,BR,77.09,moderate rain,-21.64,-41.05,Pousada Porto De Canoas
232,Chiniot,PK,90.64,clear sky,31.72,72.98,Khayyam Hotel & Restaurant Chiniot
233,Waverley,ZA,74.32,light rain,-25.7,28.26,Aves Indigo Guesthouse
234,Balabac,PH,81.75,overcast clouds,7.99,117.06,Sing and Swing Lodge
235,Souillac,MU,73.78,broken clouds,-20.52,57.52,Bils' Villa
240,Naze,JP,74.32,light rain,28.37,129.48,Shishime Hotel
242,Khani,GE,65.77,light rain,41.96,42.96,კურორტი ზეკარი/Resort Zekari
243,Requena,ES,76.78,overcast clouds,39.49,-1.1,Hotel Avenida
244,Wilmington,US,82.89,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
248,Potsdam,DE,64.87,broken clouds,52.4,13.07,Dorint Hotel Sanssouci Berlin/Potsdam
249,Manggar,ID,81.43,overcast clouds,-2.88,108.27,Guest Hotel
250,Pombas,CV,83.98,scattered clouds,17.15,-25.02,Paul Paradis
252,Butte,US,60.82,overcast clouds,39.65,-121.57,Meadowbrook Oaks Mobile Home Park
253,Maragogi,BR,81.45,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
254,Baniachang,BD,79.21,broken clouds,24.52,91.37,Baniyachong Dak Banglo
255,Entebbe,UG,77.5,light rain,0.06,32.45,WB APARTMENT
256,Tuban,ID,80.85,overcast clouds,-6.9,112.06,Hotel Mustika
258,New Milford,US,73.09,clear sky,40.93,-74.02,Courtyard by Marriott Paramus
260,Tsagan Aman,RU,79.75,broken clouds,47.56,46.72,Tirupathi
263,Mwinilunga,ZM,74.19,broken clouds,-11.74,24.43,Kwakuwahi Lodge
265,Erzurum,TR,73.08,overcast clouds,40.0,41.5,Saksi Koyu Muhtarligi
266,Cap Malheureux,MU,73.47,clear sky,-19.98,57.61,Pereybere Hotel & Spa
267,Weligama,LK,79.27,clear sky,5.97,80.42,Weligama Bay Resort
268,Kaoma,ZM,90.73,broken clouds,-14.78,24.8,KAOMA AIRPORT
270,Cayenne,GF,86.04,broken clouds,4.93,-52.33,Hôtel Le Dronmi
271,Nampula,MZ,87.75,scattered clouds,-15.12,39.27,Tacab Residencial
272,Letnik,RU,65.73,overcast clouds,46.01,41.27,Na Cherkasskom Trakte Basa Otdykha
273,Buchanan,LR,79.41,light rain,5.88,-10.05,Kamaneahn Hotel Inc
274,Hasaki,JP,66.6,overcast clouds,35.73,140.83,Inubosaki Kanko Hotel
275,Khash,IR,84.29,clear sky,28.22,61.22,دفتر پیشخوان دولت جمال زهی (خالد)
277,Yenagoa,NG,82.06,light rain,4.92,6.26,Aridolf Resort Wellness and Spa
278,Santa Comba,ES,81.68,scattered clouds,43.03,-8.81,Hotel Xallas
280,Aberdeen,GB,70.48,few clouds,57.14,-2.1,Premier Inn Aberdeen City Centre hotel
281,Marawi,PH,69.31,light rain,8.0,124.29,Derogongan Residence
282,Avarua,CK,73.45,broken clouds,-21.21,-159.78,Paradise Inn
283,Baghdad,IQ,102.11,broken clouds,33.34,44.4,Baghdad Hotel
284,Mangan,IN,73.89,broken clouds,27.52,88.53,Hotel Mout View
285,Diglur,IN,74.82,light rain,18.55,77.6,Khateeb cottage
286,Sarakhs,IR,85.55,clear sky,36.54,61.16,پیرایش امیرحسین
289,Voh,NC,69.53,clear sky,-20.97,164.7,Le gîte du Koniambo
290,Mapiripan,CO,83.19,moderate rain,2.89,-72.13,Monserrate
291,Buluang,PH,77.85,overcast clouds,13.31,123.34,Sacueza Beach Resort
292,Port Blair,IN,78.84,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
294,Mackay,AU,74.68,broken clouds,-21.15,149.2,International Lodge Motel
296,Omboue,GA,80.73,overcast clouds,-1.57,9.26,Hotel Olako
298,Asau,RO,60.28,overcast clouds,46.43,26.4,Casa Mika Ciobanus
299,Lebowakgomo,ZA,65.3,overcast clouds,-24.2,29.5,Chuene Resort
301,Atar,MR,104.43,broken clouds,20.52,-13.05,Oumou Elghoura
302,Mahanoro,MG,73.15,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
303,Salvador,SV,72.05,overcast clouds,13.83,-88.92,Chico's Ranch
304,Margate,GB,64.69,scattered clouds,51.38,1.39,Premier Inn Margate hotel
305,Volchikha,RU,63.91,clear sky,52.03,80.38,Gostinitsa
306,Awjilah,LY,106.5,clear sky,29.11,21.29,المنزل
307,Balkanabat,TM,92.68,clear sky,39.51,54.37,Nebitchi Hotel
309,Guaruja,BR,70.9,overcast clouds,-23.99,-46.26,Charme Hotel Guarujá
310,Lagoa,PT,73.83,broken clouds,39.05,-27.98,Casa Das Faias
311,Huejuquilla El Alto,MX,61.61,clear sky,22.6,-103.87,Hotel Huexuquillan
312,Atherton,GB,66.06,overcast clouds,53.52,-2.49,The Mercury Motel
313,Macultepec,MX,76.08,broken clouds,18.17,-92.83,La guadalupana
314,Ray,IN,79.57,broken clouds,23.68,85.05,Bablu Cake Corner
317,Port Shepstone,ZA,63.63,scattered clouds,-30.74,30.46,My Den Beachfront Bed and Breakfast | Self-Catering
318,Cidreira,BR,64.54,overcast clouds,-30.18,-50.21,Hotel Castelo
320,Kushima,JP,67.23,overcast clouds,31.46,131.23,Hanaoka
321,Bedele,ET,67.08,light rain,8.46,36.35,Central Hotel
322,Butembo,CD,71.64,light rain,0.15,29.28,Hotel Butembo
323,Waddan,LY,105.64,clear sky,29.16,16.14,محل الشريف محمد العايب
324,Road Town,VG,84.24,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
325,Saldanha,ZA,80.65,scattered clouds,-33.01,17.94,Blue Bay Lodge
326,San Blas,MX,78.76,scattered clouds,21.52,-105.27,Hotel Posada del Rey
328,Padang,ID,75.25,light rain,-0.95,100.35,Mercure Padang
329,Tabou,CI,80.65,broken clouds,4.42,-7.35,hotêl doufoulougou
331,Cabinda,AO,82.54,scattered clouds,-5.55,12.2,Hotel Maiombe
332,Gazli,UZ,87.33,clear sky,40.13,63.45,UTG Uy-joy kommunal xoʻjaligi
335,Vila,PT,77.7,clear sky,42.03,-8.16,Hotel Castrum Villae by Walk Hotels
336,Russell,US,81.97,clear sky,32.35,-85.2,Macs
337,Jiaocheng,CN,74.34,scattered clouds,24.68,116.14,Changtan Tourism Resort
338,Faanui,PF,78.06,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
340,Buala,SB,74.41,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
341,Ambon,ID,79.23,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
